age,pages,first_item_prize,gender,ReBuy,News_click,country,revenue
31.0,9.0,15.5,Masc,True,3.0,China,52
45.0,3.0,102.0,Masc,False,0.0,China,87
39.0,5.0,15.5,Fem,True,4.0,China,105
33.0,7.0,22.0,Masc,False,1.0,China,24
39.0,5.0,28.0,Fem,False,1.0,China,54
47.0,8.0,117.0,Fem,False,4.0,China,245
38.0,3.0,44.0,Fem,False,7.0,China,79
28.0,8.0,15.5,Fem,False,6.0,China,106
53.0,5.0,42.0,Fem,True,6.0,China,76
41.0,6.0,44.0,Fem,False,3.0,China,65
30.0,8.0,28.0,Fem,False,7.0,China,125
32.0,8.0,15.5,Fem,True,4.0,China,130
34.0,4.0,28.0,Fem,False,3.0,China,48
37.0,2.0,44.0,Fem,False,1.0,China,46
23.0,5.0,10.0,Fem,True,4.0,China,121
33.0,5.0,44.0,Fem,False,5.0,China,143
29.0,5.0,44.0,Masc,True,4.0,China,234
41.0,7.0,57.0,Masc,True,4.0,China,191
40.0,8.0,42.0,Masc,False,3.0,China,66
43.0,6.0,42.0,Fem,False,2.0,China,36
29.0,3.0,78.0,Masc,False,6.0,China,139
44.0,8.0,102.0,Masc,False,3.0,China,115
44.0,5.0,57.0,Fem,False,6.0,China,132
33.0,10.0,78.0,Masc,False,5.0,China,81
32.0,4.0,28.0,Fem,False,5.0,China,109
33.0,12.0,117.0,Fem,False,6.0,China,371
51.0,8.0,15.5,Masc,False,4.0,China,56
30.0,4.0,102.0,Fem,False,7.0,China,215
30.0,5.0,28.0,Masc,False,0.0,China,57
28.0,7.0,42.0,Masc,False,1.0,China,24
42.0,6.0,102.0,Masc,False,4.0,China,238
25.0,4.0,15.5,Masc,True,2.0,China,66
26.0,5.0,22.0,Fem,False,7.0,China,70
43.0,1.0,22.0,Masc,False,2.0,China,34
33.0,10.0,15.5,Fem,True,4.0,China,56
41.0,8.0,117.0,Fem,False,5.0,China,255
31.0,6.0,57.0,Fem,False,2.0,China,60
28.0,4.0,22.0,Fem,False,7.0,China,118
35.0,7.0,22.0,Fem,True,5.0,China,96
31.0,12.0,44.0,Fem,False,5.0,China,124
54.0,9.0,22.0,Fem,True,3.0,China,59
50.0,3.0,10.0,Fem,False,0.0,China,32
36.0,5.0,44.0,Fem,True,4.0,China,76
39.0,7.0,78.0,Fem,False,1.0,China,60
38.0,5.0,57.0,Fem,False,1.0,China,55
29.0,8.0,42.0,Fem,False,4.0,China,166
36.0,3.0,78.0,Masc,False,7.0,China,298
27.0,8.0,15.5,Masc,False,6.0,China,55
38.0,5.0,44.0,Masc,True,6.0,China,95
30.0,6.0,28.0,Fem,False,3.0,China,24
29.0,8.0,15.5,Masc,False,7.0,China,110
38.0,8.0,117.0,Masc,True,4.0,China,361
26.0,4.0,15.5,Fem,False,3.0,China,24
38.0,2.0,102.0,Masc,False,1.0,China,95
29.0,5.0,15.5,Fem,True,4.0,China,21
32.0,5.0,28.0,Fem,False,5.0,China,85
41.0,5.0,10.0,Masc,True,4.0,China,117
51.0,7.0,10.0,Fem,True,4.0,China,67
48.0,8.0,44.0,Masc,False,3.0,China,39
28.0,6.0,44.0,Masc,False,2.0,China,52
38.0,3.0,15.5,Masc,False,6.0,China,120
35.0,8.0,102.0,Masc,False,3.0,China,102
38.0,5.0,?,Fem,False,6.0,China,95
27.0,10.0,22.0,Masc,False,5.0,China,112
42.0,4.0,28.0,Fem,False,5.0,China,89
41.0,12.0,117.0,Fem,False,6.0,China,179
36.0,8.0,44.0,Fem,False,4.0,China,193
58.0,4.0,15.5,Fem,False,7.0,China,42
28.0,5.0,42.0,Fem,False,0.0,China,41
26.0,7.0,44.0,Fem,False,1.0,China,58
43.0,6.0,28.0,Fem,False,4.0,China,87
26.0,4.0,15.5,Fem,True,2.0,China,25
32.0,5.0,28.0,Fem,False,7.0,China,85
34.0,1.0,44.0,Fem,False,2.0,China,22
28.0,10.0,10.0,Fem,True,4.0,China,108
67.0,8.0,44.0,Fem,False,5.0,China,171
22.0,6.0,44.0,Masc,False,2.0,China,29
25.0,4.0,57.0,Masc,False,7.0,China,208
34.0,7.0,42.0,Masc,True,5.0,China,105
45.0,12.0,42.0,Fem,False,5.0,China,113
45.0,9.0,78.0,Masc,True,3.0,China,36
36.0,3.0,102.0,Masc,False,0.0,China,94
44.0,5.0,57.0,Fem,True,4.0,China,193
66.0,7.0,78.0,Masc,False,1.0,China,92
47.0,5.0,28.0,Fem,False,1.0,China,37
31.0,8.0,117.0,Fem,False,4.0,China,271
67.0,3.0,15.5,Masc,False,7.0,China,108
39.0,8.0,102.0,Fem,False,6.0,China,217
33.0,5.0,28.0,Masc,True,6.0,China,81
38.0,6.0,42.0,Masc,False,3.0,China,42
43.0,8.0,102.0,Masc,False,7.0,China,131
29.0,8.0,15.5,Masc,True,4.0,China,75
31.0,4.0,22.0,Fem,False,3.0,China,34
47.0,2.0,22.0,Masc,False,1.0,China,50
37.0,5.0,15.5,Fem,True,4.0,China,57
30.0,5.0,117.0,Fem,False,5.0,China,255
37.0,5.0,57.0,Fem,True,4.0,China,96
33.0,7.0,22.0,Fem,True,4.0,China,84
30.0,8.0,22.0,Fem,False,3.0,China,22
35.0,6.0,44.0,Fem,False,2.0,China,54
38.0,3.0,22.0,Fem,False,6.0,China,117
41.0,8.0,10.0,Fem,False,3.0,China,13
36.0,5.0,44.0,Fem,False,6.0,China,140
24.0,10.0,78.0,Fem,False,5.0,China,171
32.0,4.0,57.0,Fem,False,5.0,China,184
41.0,12.0,42.0,Fem,False,6.0,China,127
19.0,8.0,78.0,Masc,False,4.0,China,130
36.0,4.0,15.5,Masc,False,7.0,China,60
41.0,5.0,44.0,Masc,False,0.0,China,54
30.0,7.0,28.0,Fem,False,1.0,China,35
47.0,6.0,15.5,Masc,False,4.0,China,92
27.0,4.0,117.0,Masc,True,2.0,China,83
24.0,5.0,15.5,Fem,False,7.0,China,52
27.0,1.0,102.0,Masc,False,2.0,China,129
33.0,10.0,15.5,Fem,True,4.0,China,112
41.0,8.0,28.0,Fem,False,5.0,China,131
30.0,6.0,10.0,Masc,False,2.0,China,46
38.0,4.0,10.0,Fem,False,7.0,China,104
35.0,7.0,44.0,Masc,True,5.0,China,157
44.0,12.0,44.0,Masc,False,5.0,China,93
27.0,9.0,15.5,Masc,True,3.0,China,38
36.0,3.0,102.0,Masc,False,0.0,China,140
36.0,5.0,15.5,Fem,True,4.0,China,65
32.0,7.0,22.0,Masc,False,1.0,China,56
50.0,5.0,28.0,Fem,False,1.0,China,19
29.0,8.0,117.0,Fem,False,4.0,China,353
30.0,3.0,44.0,Fem,False,7.0,China,131
42.0,8.0,15.5,Fem,False,6.0,China,61
26.0,5.0,42.0,Fem,True,6.0,China,163
50.0,6.0,44.0,Fem,False,3.0,China,67
39.0,8.0,28.0,Fem,False,7.0,China,158
32.0,8.0,15.5,Fem,True,4.0,China,86
34.0,4.0,28.0,Fem,False,3.0,China,40
30.0,2.0,44.0,Fem,False,1.0,China,56
39.0,5.0,10.0,Fem,True,4.0,China,80
37.0,5.0,44.0,Fem,False,5.0,China,157
30.0,5.0,44.0,Masc,True,4.0,China,137
27.0,7.0,57.0,Masc,True,4.0,China,159
31.0,8.0,42.0,Masc,False,3.0,China,55
54.0,6.0,42.0,Fem,False,2.0,China,77
39.0,3.0,78.0,Masc,False,6.0,China,106
73.0,8.0,102.0,Masc,False,3.0,China,114
40.0,5.0,57.0,Fem,False,6.0,China,90
35.0,10.0,78.0,Masc,False,5.0,China,150
27.0,4.0,28.0,Fem,False,5.0,China,85
35.0,12.0,117.0,Fem,False,6.0,China,304
48.0,8.0,15.5,Masc,False,4.0,China,97
19.0,4.0,102.0,Fem,False,7.0,China,207
24.0,5.0,28.0,Masc,False,0.0,China,49
29.0,7.0,42.0,Masc,False,1.0,China,85
27.0,4.0,42.0,Fem,True,6.0,India,54
34.0,6.0,57.0,Fem,False,0.0,India,53
39.0,4.0,22.0,Fem,True,4.0,India,100
31.0,5.0,44.0,Fem,False,2.0,India,56
53.0,8.0,44.0,Fem,True,5.0,India,149
20.0,4.0,117.0,Fem,True,1.0,India,86
44.0,6.0,44.0,Fem,False,1.0,India,30
34.0,5.0,42.0,Masc,False,4.0,India,121
50.0,7.0,15.5,Fem,False,2.0,India,28
26.0,6.0,44.0,Masc,False,4.0,India,147
35.0,5.0,42.0,Fem,False,9.0,India,160
26.0,4.0,22.0,Fem,True,2.0,India,22
29.0,8.0,10.0,Fem,True,6.0,India,26
40.0,5.0,44.0,Masc,True,2.0,India,56
45.0,4.0,102.0,Masc,True,5.0,India,261
38.0,6.0,28.0,Fem,False,1.0,India,28
64.0,5.0,42.0,Fem,False,4.0,India,80
33.0,2.0,102.0,Fem,False,10.0,India,211
34.0,3.0,22.0,Fem,False,5.0,India,76
37.0,4.0,15.5,Fem,False,3.0,India,19
47.0,7.0,15.5,Fem,True,6.0,India,43
32.0,6.0,102.0,Masc,False,2.0,India,74
48.0,5.0,57.0,Masc,False,2.0,India,58
45.0,4.0,57.0,Masc,False,6.0,India,77
34.0,9.0,10.0,Fem,False,5.0,India,55
46.0,9.0,44.0,Fem,False,6.0,India,178
41.0,3.0,22.0,Masc,False,7.0,India,59
23.0,7.0,44.0,Fem,False,3.0,India,49
35.0,4.0,44.0,Fem,True,6.0,India,51
47.0,3.0,102.0,Fem,False,10.0,India,137
41.0,7.0,15.5,Fem,False,2.0,India,14
78.0,9.0,22.0,Fem,False,1.0,India,45
37.0,6.0,28.0,Fem,False,4.0,India,78
34.0,6.0,42.0,Fem,True,10.0,India,50
41.0,3.0,42.0,Fem,False,7.0,India,74
43.0,3.0,44.0,Fem,True,4.0,India,154
30.0,3.0,22.0,Fem,False,0.0,India,20
38.0,9.0,22.0,Masc,False,4.0,India,28
52.0,7.0,15.5,Fem,False,5.0,India,60
31.0,6.0,57.0,Masc,False,3.0,India,23
40.0,4.0,10.0,Fem,True,6.0,India,50
51.0,6.0,78.0,Fem,False,0.0,India,88
26.0,4.0,57.0,Fem,True,4.0,India,171
37.0,5.0,15.5,Masc,False,2.0,India,41
27.0,8.0,42.0,Masc,True,5.0,India,123
28.0,4.0,44.0,Fem,True,1.0,India,49
60.0,6.0,28.0,Fem,False,1.0,India,29
33.0,5.0,78.0,Fem,False,4.0,India,184
39.0,7.0,15.5,Fem,False,2.0,India,22
36.0,6.0,22.0,Fem,False,4.0,India,82
25.0,5.0,117.0,Fem,False,9.0,India,332
53.0,4.0,22.0,Masc,True,2.0,India,22
50.0,8.0,42.0,Masc,True,6.0,India,123
42.0,5.0,15.5,Masc,True,2.0,India,19
32.0,4.0,22.0,Fem,True,5.0,India,50
40.0,6.0,22.0,Fem,False,1.0,India,15
32.0,5.0,102.0,Masc,False,4.0,India,161
45.0,2.0,44.0,Fem,False,10.0,India,84
40.0,3.0,22.0,Fem,False,5.0,India,69
46.0,4.0,57.0,Fem,False,3.0,India,43
27.0,7.0,42.0,Fem,True,6.0,India,131
43.0,6.0,57.0,Fem,False,2.0,India,46
39.0,5.0,22.0,Fem,False,2.0,India,27
45.0,4.0,44.0,Fem,False,6.0,India,116
37.0,9.0,44.0,Fem,False,5.0,India,123
32.0,9.0,117.0,Fem,False,6.0,India,133
37.0,3.0,44.0,Fem,False,7.0,India,67
22.0,7.0,42.0,Masc,False,3.0,India,28
34.0,4.0,15.5,Fem,True,6.0,India,55
29.0,3.0,44.0,Masc,False,10.0,India,78
36.0,7.0,42.0,Fem,False,2.0,India,33
45.0,9.0,22.0,Fem,False,1.0,India,48
37.0,6.0,10.0,Fem,False,4.0,India,63
32.0,6.0,44.0,Masc,True,10.0,India,140
43.0,3.0,102.0,Masc,False,7.0,India,197
47.0,3.0,28.0,Fem,True,4.0,India,70
43.0,3.0,42.0,Fem,False,0.0,India,38
37.0,9.0,102.0,Fem,False,4.0,India,216
34.0,7.0,22.0,Fem,False,5.0,India,69
37.0,6.0,15.5,Fem,False,3.0,India,14
31.0,4.0,15.5,Fem,True,6.0,India,53
34.0,6.0,102.0,Masc,False,0.0,India,117
34.0,4.0,57.0,Masc,True,4.0,India,153
33.0,5.0,57.0,Masc,False,2.0,India,46
46.0,8.0,10.0,Fem,True,5.0,India,40
37.0,4.0,44.0,Fem,True,1.0,India,20
46.0,6.0,22.0,Masc,False,1.0,India,31
48.0,5.0,44.0,Fem,False,4.0,India,128
43.0,7.0,44.0,Fem,False,2.0,India,50
49.0,6.0,102.0,Fem,False,4.0,India,196
32.0,5.0,15.5,Fem,False,9.0,India,39
33.0,4.0,22.0,Fem,True,2.0,India,28
36.0,8.0,28.0,Fem,True,6.0,India,96
43.0,5.0,42.0,Fem,True,2.0,India,4
45.0,4.0,42.0,Fem,True,5.0,India,143
27.0,6.0,44.0,Fem,False,1.0,India,42
33.0,5.0,22.0,Fem,False,4.0,India,63
38.0,2.0,22.0,Masc,False,10.0,India,33
32.0,3.0,15.5,Fem,False,5.0,India,35
46.0,4.0,57.0,Masc,False,3.0,India,73
45.0,7.0,10.0,Fem,True,6.0,India,57
45.0,6.0,78.0,Fem,False,2.0,India,55
47.0,5.0,57.0,Fem,False,2.0,India,34
22.0,4.0,15.5,Masc,False,6.0,India,83
69.0,9.0,42.0,Masc,False,5.0,India,110
34.0,9.0,44.0,Fem,False,6.0,India,86
36.0,3.0,28.0,Fem,False,7.0,India,63
39.0,7.0,78.0,Fem,False,3.0,India,56
47.0,4.0,15.5,Fem,True,6.0,India,46
40.0,3.0,22.0,Fem,False,10.0,India,71
47.0,7.0,117.0,Fem,False,2.0,India,52
33.0,9.0,22.0,Masc,False,1.0,India,34
35.0,6.0,42.0,Masc,False,4.0,India,104
22.0,6.0,15.5,Masc,True,10.0,India,51
29.0,3.0,22.0,Fem,False,7.0,India,54
77.0,3.0,22.0,Fem,True,4.0,India,44
27.0,3.0,102.0,Masc,False,0.0,India,69
26.0,9.0,44.0,Fem,False,4.0,India,76
35.0,7.0,22.0,Fem,False,5.0,India,74
30.0,6.0,57.0,Fem,False,3.0,India,18
55.0,4.0,42.0,Fem,True,6.0,India,91
33.0,6.0,57.0,Fem,False,0.0,India,10
31.0,4.0,22.0,Fem,True,4.0,India,55
43.0,5.0,44.0,Fem,False,2.0,India,34
45.0,8.0,44.0,Fem,True,5.0,India,126
33.0,4.0,117.0,Fem,True,1.0,India,78
33.0,6.0,44.0,Fem,False,1.0,India,44
46.0,5.0,42.0,Masc,False,4.0,India,78
22.0,7.0,15.5,Fem,False,2.0,India,16
24.0,6.0,44.0,Masc,False,4.0,India,114
45.0,5.0,42.0,Fem,False,9.0,India,103
27.0,4.0,22.0,Fem,True,2.0,India,18
45.0,8.0,10.0,Fem,True,6.0,India,33
36.0,5.0,44.0,Masc,True,2.0,India,43
28.0,4.0,102.0,Masc,True,5.0,India,64
30.0,6.0,28.0,Fem,False,1.0,India,28
50.0,5.0,42.0,Fem,False,4.0,India,99
19.0,2.0,102.0,Fem,False,10.0,India,147
35.0,3.0,22.0,Fem,False,5.0,India,100
74.0,4.0,15.5,Fem,False,3.0,India,27
32.0,7.0,15.5,Fem,True,6.0,India,41
41.0,6.0,102.0,Masc,False,2.0,India,66
37.0,5.0,57.0,Masc,False,2.0,India,56
30.0,4.0,57.0,Masc,False,6.0,India,67
36.0,9.0,10.0,Fem,False,5.0,India,60
43.0,9.0,44.0,Fem,False,6.0,India,84
44.0,3.0,22.0,Masc,False,7.0,India,46
42.0,7.0,44.0,Fem,False,3.0,India,40
31.0,4.0,44.0,Fem,True,6.0,India,162
29.0,3.0,102.0,Fem,False,10.0,India,193
34.0,7.0,15.5,Fem,False,2.0,India,26
40.0,9.0,22.0,Fem,False,1.0,India,21
37.0,6.0,28.0,Fem,False,4.0,India,85
40.0,6.0,42.0,Fem,True,10.0,India,168
33.0,3.0,42.0,Fem,False,7.0,India,110
74.0,3.0,44.0,Fem,True,4.0,India,76
26.0,3.0,22.0,Fem,False,0.0,India,28
28.0,9.0,22.0,Masc,False,4.0,India,69
54.0,7.0,15.5,Fem,False,5.0,India,42
36.0,6.0,57.0,Masc,False,3.0,India,42
38.0,4.0,10.0,Fem,True,6.0,India,48
31.0,6.0,78.0,Fem,False,0.0,India,75
45.0,4.0,57.0,Fem,True,4.0,India,133
48.0,5.0,15.5,Masc,False,2.0,India,23
37.0,8.0,42.0,Masc,True,5.0,India,77
24.0,4.0,44.0,Fem,True,1.0,India,51
37.0,6.0,28.0,Fem,False,1.0,India,32
38.0,5.0,78.0,Fem,False,4.0,India,143
28.0,7.0,15.5,Fem,False,2.0,India,28
37.0,6.0,22.0,Fem,False,4.0,India,71
30.0,5.0,117.0,Fem,False,9.0,India,251
29.0,4.0,22.0,Masc,True,2.0,India,29
36.0,8.0,42.0,Masc,True,6.0,India,73
46.0,5.0,15.5,Masc,True,2.0,India,21
45.0,4.0,22.0,Fem,True,5.0,India,35
45.0,6.0,22.0,Fem,False,1.0,India,23
35.0,5.0,102.0,Masc,False,4.0,India,162
46.0,2.0,44.0,Fem,False,10.0,India,95
39.0,3.0,22.0,Fem,False,5.0,India,58
32.0,4.0,57.0,Fem,False,3.0,India,52
38.0,7.0,42.0,Fem,True,6.0,India,115
39.0,6.0,57.0,Fem,False,2.0,India,70
37.0,5.0,22.0,Fem,False,2.0,India,29
27.0,4.0,44.0,Fem,False,6.0,India,106
45.0,9.0,44.0,Fem,False,5.0,India,95
18.0,9.0,117.0,Fem,False,6.0,India,181
44.0,3.0,44.0,Fem,False,7.0,India,91
37.0,7.0,42.0,Masc,False,3.0,India,43
38.0,4.0,15.5,Fem,True,6.0,India,77
47.0,3.0,44.0,Masc,False,10.0,India,73
28.0,7.0,42.0,Fem,False,2.0,India,31
69.0,9.0,22.0,Fem,False,1.0,India,30
29.0,6.0,10.0,Fem,False,4.0,India,44
20.0,6.0,44.0,Masc,True,10.0,India,84
39.0,3.0,102.0,Masc,False,7.0,India,130
41.0,3.0,28.0,Fem,True,4.0,India,55
35.0,3.0,42.0,Fem,False,0.0,India,52
40.0,9.0,102.0,Fem,False,4.0,India,149
56.0,7.0,22.0,Fem,False,5.0,India,75
40.0,6.0,15.5,Fem,False,3.0,India,17
36.0,5.0,44.0,Fem,False,10.0,United States,194
41.0,5.0,22.0,Masc,True,0.0,United States,133
37.0,6.0,10.0,Fem,False,5.0,United States,203
35.0,5.0,44.0,Masc,False,4.0,United States,283
27.0,5.0,44.0,Fem,False,5.0,United States,176
37.0,9.0,15.5,Fem,False,5.0,United States,147
29.0,6.0,42.0,Masc,True,7.0,United States,362
39.0,5.0,42.0,Masc,False,1.0,United States,113
38.0,7.0,44.0,Masc,True,10.0,United States,352
36.0,4.0,57.0,Fem,False,3.0,United States,144
44.0,7.0,117.0,Masc,False,3.0,United States,138
41.0,7.0,57.0,Fem,False,4.0,United States,236
26.0,6.0,42.0,Fem,False,4.0,United States,268
27.0,4.0,44.0,Masc,False,3.0,United States,140
37.0,7.0,44.0,Fem,False,3.0,United States,68
34.0,9.0,28.0,Fem,False,4.0,United States,309
33.0,4.0,44.0,Fem,False,10.0,United States,211
40.0,9.0,57.0,Masc,False,5.0,United States,422
33.0,4.0,28.0,Fem,False,10.0,United States,135
44.0,6.0,57.0,Fem,False,5.0,United States,278
23.0,5.0,15.5,Fem,True,4.0,United States,146
44.0,3.0,78.0,Fem,False,5.0,United States,370
46.0,4.0,102.0,Fem,False,6.0,United States,386
35.0,6.0,42.0,Fem,False,0.0,United States,135
36.0,5.0,28.0,Fem,False,2.0,United States,79
24.0,5.0,57.0,Masc,False,7.0,United States,272
43.0,9.0,44.0,Masc,False,6.0,United States,217
60.0,6.0,42.0,Masc,False,7.0,United States,230
34.0,7.0,44.0,Masc,True,3.0,United States,148
52.0,5.0,10.0,Fem,False,2.0,United States,98
48.0,5.0,102.0,Fem,False,2.0,United States,180
25.0,7.0,10.0,Masc,True,2.0,United States,160
41.0,7.0,44.0,Fem,False,2.0,United States,86
33.0,5.0,15.5,Masc,False,3.0,United States,84
38.0,5.0,44.0,Fem,False,6.0,United States,195
31.0,5.0,57.0,Fem,False,6.0,United States,85
39.0,6.0,15.5,Masc,False,5.0,United States,145
51.0,4.0,22.0,Masc,False,2.0,United States,144
27.0,4.0,57.0,Masc,False,3.0,United States,168
41.0,7.0,22.0,Fem,False,10.0,United States,239
34.0,5.0,57.0,Masc,False,10.0,United States,341
49.0,5.0,22.0,Fem,True,0.0,United States,68
43.0,6.0,44.0,Fem,False,5.0,United States,285
31.0,5.0,44.0,Masc,False,4.0,United States,437
30.0,5.0,15.5,Fem,False,5.0,United States,287
40.0,9.0,57.0,Fem,False,5.0,United States,239
27.0,6.0,15.5,Fem,True,7.0,United States,294
30.0,5.0,44.0,Masc,False,1.0,United States,145
28.0,7.0,10.0,Fem,True,10.0,United States,258
29.0,4.0,15.5,Fem,False,3.0,United States,95
37.0,7.0,22.0,Fem,False,3.0,United States,106
35.0,7.0,44.0,Fem,False,4.0,United States,239
36.0,6.0,102.0,Fem,False,4.0,United States,211
26.0,4.0,57.0,Fem,False,3.0,United States,111
43.0,7.0,57.0,Fem,False,3.0,United States,83
36.0,9.0,22.0,Masc,False,4.0,United States,234
28.0,4.0,44.0,Masc,False,10.0,United States,287
41.0,9.0,44.0,Masc,False,5.0,United States,285
37.0,4.0,15.5,Masc,False,10.0,United States,270
30.0,6.0,22.0,Fem,False,5.0,United States,354
35.0,5.0,44.0,Fem,True,4.0,United States,266
41.0,3.0,22.0,Masc,False,5.0,United States,156
42.0,4.0,10.0,Fem,False,6.0,United States,136
48.0,6.0,44.0,Masc,False,0.0,United States,115
54.0,5.0,44.0,Fem,False,2.0,United States,99
29.0,5.0,15.5,Fem,False,7.0,United States,255
38.0,9.0,42.0,Masc,False,6.0,United States,175
31.0,6.0,42.0,Masc,False,7.0,United States,274
32.0,7.0,44.0,Masc,True,3.0,United States,164
36.0,5.0,57.0,Fem,False,2.0,United States,117
41.0,5.0,117.0,Masc,False,2.0,United States,162
70.0,7.0,57.0,Fem,True,2.0,United States,292
46.0,7.0,42.0,Fem,False,2.0,United States,68
51.0,5.0,44.0,Masc,False,3.0,United States,124
49.0,5.0,44.0,Fem,False,6.0,United States,303
29.0,5.0,28.0,Fem,False,6.0,United States,351
49.0,6.0,44.0,Fem,False,5.0,United States,112
38.0,4.0,57.0,Masc,False,2.0,United States,145
48.0,4.0,28.0,Fem,False,3.0,United States,107
31.0,7.0,57.0,Fem,False,10.0,United States,211
44.0,5.0,15.5,Fem,False,10.0,United States,211
33.0,5.0,78.0,Fem,True,0.0,United States,169
46.0,6.0,102.0,Fem,False,5.0,United States,235
38.0,5.0,42.0,Fem,False,4.0,United States,235
33.0,5.0,28.0,Fem,False,5.0,United States,198
41.0,9.0,57.0,Masc,False,5.0,United States,317
39.0,6.0,44.0,Masc,True,7.0,United States,345
48.0,5.0,42.0,Masc,False,1.0,United States,121
27.0,7.0,44.0,Masc,True,10.0,United States,490
49.0,4.0,10.0,Fem,False,3.0,United States,97
30.0,7.0,102.0,Fem,False,3.0,United States,173
36.0,7.0,10.0,Masc,False,4.0,United States,236
25.0,6.0,44.0,Fem,False,4.0,United States,175
31.0,4.0,15.5,Masc,False,3.0,United States,107
44.0,7.0,44.0,Fem,False,3.0,United States,88
43.0,9.0,57.0,Fem,False,4.0,United States,285
43.0,4.0,15.5,Masc,False,10.0,United States,172
38.0,9.0,22.0,Masc,False,5.0,United States,349
47.0,4.0,57.0,Masc,False,10.0,United States,355
34.0,6.0,22.0,Fem,False,5.0,United States,242
28.0,5.0,57.0,Masc,True,4.0,United States,289
43.0,3.0,22.0,Fem,False,5.0,United States,150
43.0,4.0,44.0,Fem,False,6.0,United States,94
39.0,6.0,44.0,Masc,False,0.0,United States,97
51.0,5.0,15.5,Fem,False,2.0,United States,91
42.0,5.0,57.0,Fem,False,7.0,United States,272
45.0,9.0,15.5,Fem,False,6.0,United States,197
33.0,6.0,44.0,Masc,False,7.0,United States,298
55.0,7.0,10.0,Fem,True,3.0,United States,124
44.0,5.0,15.5,Fem,False,2.0,United States,63
40.0,5.0,22.0,Fem,False,2.0,United States,127
41.0,7.0,44.0,Fem,True,2.0,United States,61
37.0,7.0,102.0,Fem,False,2.0,United States,130
36.0,5.0,57.0,Fem,False,3.0,United States,132
44.0,5.0,57.0,Fem,False,6.0,United States,294
25.0,5.0,22.0,Masc,False,6.0,United States,207
40.0,6.0,44.0,Masc,False,5.0,United States,244
44.0,4.0,44.0,Masc,False,2.0,United States,99
32.0,4.0,15.5,Masc,False,3.0,United States,96
41.0,7.0,22.0,Fem,False,10.0,United States,164
46.0,5.0,44.0,Fem,False,10.0,United States,301
77.0,5.0,22.0,Masc,True,0.0,United States,265
48.0,6.0,10.0,Fem,False,5.0,United States,281
41.0,5.0,44.0,Masc,False,4.0,United States,335
45.0,5.0,44.0,Fem,False,5.0,United States,223
41.0,9.0,15.5,Fem,False,5.0,United States,214
45.0,6.0,42.0,Masc,True,7.0,United States,309
42.0,5.0,42.0,Masc,False,1.0,United States,145
45.0,7.0,44.0,Masc,True,10.0,United States,362
38.0,4.0,57.0,Fem,False,3.0,United States,76
40.0,7.0,117.0,Masc,False,3.0,United States,66
